mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
28.68832:-81.40763#108,1,4,1.13
25.75128:-80.21658#,1,4,1.12
27.08985:-82.44343#,1,4,1.12
26.27262:-80.23127#,1,4,1.09
26.18235:-81.79893#,1,4,1.07
27.93448:-82.31004#,0.90004,4,1.05
28.33287:-81.48000#,1,4,1.04
26.08613:-80.20765#6A,0.99987,4,1
26.23108:-80.15960#,1,4,1
26.34809:-80.08499#,0.56594,4,1
26.83566:-80.06100#3,0.99999,4,1
27.33432:-82.53154#,1,4,1
29.16784:-82.13814#,0.88809,4,1
26.64427:-80.05762#,1,4,0.97
28.38064:-81.42468#,1,4,0.97
26.06209:-80.18989#,1,4,0.96
26.80798:-80.10411#,0.99999,4,0.95
28.37324:-80.60593#,1,4,0.95
28.54387:-81.35166#,1,4,0.95
29.20994:-81.02567#,1,4,0.95
25.85773:-80.31500#,0.99999,4,0.92
28.55331:-81.37768#,1,4,0.92
25.69982:-80.36567#,1,4,0.91
25.89709:-80.33171#,1,4,0.88
27.86624:-82.63259#,1,4,0.88
26.27136:-80.23377#,0.99999,4,0.87
28.36651:-80.60583#E,1,4,0.87
27.94459:-82.51022#,1,4,0.85
26.01039:-80.25450#,0.99997,4,0.84
28.07818:-82.57137#140,1,4,0.84
26.06331:-80.27414#,1,4,0.83
26.16767:-80.25828#,1,4,0.8
26.50304:-81.85804#,0.99999,4,0.8
26.39956:-80.07667#,1,4,0.79
28.59338:-81.35969#,0.99999,4,0.79
25.77478:-80.13568#,1,4,0.78
25.98561:-80.12454#,1,4,0.78
26.02401:-80.31123#3B,1,4,0.78
26.23499:-80.20006#,1,4,0.78
28.40753:-81.40839#A5,1,4,0.78
29.85357:-81.32456#,1,4,0.78
25.70269:-80.36926#,1,4,0.76
30.31032:-81.60020#,1,4,0.76
25.73375:-80.29990#,1,4,0.75
26.00952:-80.35568#,0.88717,4,0.75
27.28131:-82.53218#,0.62111,4,0.75
27.98180:-81.95630#,1,4,0.75
28.23856:-82.18379#,0.69681,4,0.75
26.19202:-80.11315#,1,4,0.74
27.29677:-82.45283#,1,4,0.74
25.93100:-80.13534#,0.99997,4,0.72
26.19713:-80.25175#,1,4,0.72
26.04649:-80.23761#,0.89403,4,0.7
28.57025:-81.23962#,1,4,0.69
28.02534:-82.57134#,1,4,0.68
26.13782:-80.10608#,1,4,0.67
26.27183:-81.76567#4,1,4,0.67
28.00847:-81.92487#,0.51696,4,0.67
28.59516:-81.36548#,0.93065,4,0.67
25.79283:-80.12903#,0.53478,4,0.65
25.82225:-80.18764#,0.65683,4,0.65
26.37003:-80.08935#,0.9515,4,0.65
28.50979:-81.45974#2B,0.85505,4,0.65
25.68585:-80.38384#,0.99999,4,0.64
26.36807:-80.13771#,0.62036,4,0.64
27.94516:-82.51001#,1,4,0.62
25.97945:-80.36203#,0.99999,4,0.61
26.04804:-80.18121#,1,4,0.61
27.77716:-82.67175#,1,4,0.61
28.04940:-82.39322#,0.69084,4,0.61
26.11456:-80.25631#,0.71122,4,0.6
27.65220:-80.35542#,0.64515,4,0.6
27.78868:-82.72773#,0.97451,4,0.6
30.26066:-81.63164#,1,4,0.59
25.79529:-80.14180#,0.95458,4,0.58
28.08488:-80.62677#,0.99999,4,0.58
26.27302:-80.26439#,0.99641,4,0.57
26.46112:-80.06126#,0.53741,4,0.57
30.46721:-84.26895#,0.6117,4,0.56
25.62745:-80.41511#,0.97719,4,0.55
27.79386:-82.73360#,0.67115,4,0.55
27.94507:-82.50188#,0.57344,4,0.55
28.18350:-82.43857#,0.89594,4,0.55
28.66348:-81.35144#,1,4,0.55
26.46319:-80.06831#,0.9996,4,0.5
28.16917:-82.35524#,0.61445,4,0.5
28.18905:-82.36174#,0.70629,4,0.5
28.55283:-81.35425#,1,4,0.5
26.31945:-80.10198#1,1,4,0.47
27.18108:-80.24068#,1,4,0.47
26.00881:-80.24614#,0.77113,4,0.45
26.12088:-80.27816#,0.75117,4,0.45
26.45621:-80.12371#,0.53993,4,0.45
26.52622:-80.18672#105,0.94508,4,0.45
26.70469:-80.10730#,0.66384,4,0.45
28.45530:-81.47047#,0.56395,4,0.45
28.90714:-81.97474#,0.59999,4,0.45
28.32791:-81.47051#,1,4,0.44
28.45123:-81.47814#,0.97491,4,0.4
26.18672:-80.11605#,0.99999,4,0.36
26.26143:-80.09885#,0.74257,4,0.36
29.89510:-81.31211#,0.99189,4,0.35
25.92518:-80.17455#,0.99999,4,0.32
26.20389:-81.80149#,0.76737,4,0.3
27.93509:-82.29325#,0.84384,4,0.3
25.94569:-80.16373#,0.63505,4,0.25
28.18235:-82.35266#,0.89698,4,0.25
28.33348:-81.51455#,0.99997,4,0.24
28.69810:-81.34893#,0.99755,3,3
26.17186:-80.25482#,1,3,2
